"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","515","Successfully read meme by its id","tests","Thu Nov 20 17:28:59 UTC 2025","passed","Thu Nov 20 17:28:59 UTC 2025","TestReadMeme","test_read_meme","",""
"","425","Successfully create a meme","tests","Thu Nov 20 17:28:55 UTC 2025","passed","Thu Nov 20 17:28:55 UTC 2025","TestCreateMeme","test_create_meme","",""
"","598","Successfully delete meme by its id","tests","Thu Nov 20 17:28:56 UTC 2025","passed","Thu Nov 20 17:28:57 UTC 2025","TestDeleteMeme","test_delete_meme","",""
"","639","Successful authorization","tests","Thu Nov 20 17:28:55 UTC 2025","passed","Thu Nov 20 17:28:55 UTC 2025","TestAuth","test_authorization","",""
"","296","Try to fully update another user meme","tests","Thu Nov 20 17:29:02 UTC 2025","passed","Thu Nov 20 17:29:02 UTC 2025","TestUpdateMeme","test_update_meme","",""
"","368","Successfully create a meme","tests","Thu Nov 20 17:28:56 UTC 2025","passed","Thu Nov 20 17:28:56 UTC 2025","TestCreateMeme","test_create_meme","",""
"","306","Successfully update (replace) meme","tests","Thu Nov 20 17:28:58 UTC 2025","passed","Thu Nov 20 17:28:59 UTC 2025","TestUpdateMeme","test_update_meme","",""
"","706","Successful authorization","tests","Thu Nov 20 17:28:55 UTC 2025","passed","Thu Nov 20 17:28:55 UTC 2025","TestAuth","test_authorization","",""
"","808","Successful authorization","tests","Thu Nov 20 17:28:54 UTC 2025","passed","Thu Nov 20 17:28:55 UTC 2025","TestAuth","test_authorization","",""
"","422","Successfully create a meme","tests","Thu Nov 20 17:28:55 UTC 2025","passed","Thu Nov 20 17:28:56 UTC 2025","TestCreateMeme","test_create_meme","",""
"","820","Successful authorization","tests","Thu Nov 20 17:28:54 UTC 2025","passed","Thu Nov 20 17:28:55 UTC 2025","TestAuth","test_authorization","",""
"","4232","Successfully read all memes","tests","Thu Nov 20 17:28:57 UTC 2025","passed","Thu Nov 20 17:29:01 UTC 2025","TestReadMeme","test_read_meme","",""
"","300","Try to delete another user meme","tests","Thu Nov 20 17:28:57 UTC 2025","passed","Thu Nov 20 17:28:57 UTC 2025","TestDeleteMeme","test_delete_meme","",""
"","812","Successful authorization","tests","Thu Nov 20 17:28:54 UTC 2025","passed","Thu Nov 20 17:28:55 UTC 2025","TestAuth","test_authorization","",""
