"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","251","Try to create a meme with invalid data","tests","Sat Oct 11 19:39:50 UTC 2025","passed","Sat Oct 11 19:39:50 UTC 2025","TestCreateMeme","test_create_meme","",""
"","242","Try to create a meme without auth token","tests","Sat Oct 11 19:39:51 UTC 2025","passed","Sat Oct 11 19:39:51 UTC 2025","TestCreateMeme","test_create_meme","",""
"","490","Successfully update (replace) meme","tests","Sat Oct 11 19:39:54 UTC 2025","passed","Sat Oct 11 19:39:55 UTC 2025","TestUpdateMeme","test_update_meme","",""
"","365","Try to create a meme with invalid data","tests","Sat Oct 11 19:39:51 UTC 2025","passed","Sat Oct 11 19:39:52 UTC 2025","TestCreateMeme","test_create_meme","",""
"","228","Try to fully update (replace) meme with wrong url","tests","Sat Oct 11 19:39:56 UTC 2025","passed","Sat Oct 11 19:39:56 UTC 2025","TestUpdateMeme","test_update_meme","",""
"","239","Try to fully update (replace) meme without auth token","tests","Sat Oct 11 19:39:56 UTC 2025","passed","Sat Oct 11 19:39:56 UTC 2025","TestUpdateMeme","test_update_meme","",""
"","251","Try to read meme by string id","tests","Sat Oct 11 19:39:54 UTC 2025","passed","Sat Oct 11 19:39:55 UTC 2025","TestReadMemes","test_read_meme","",""
"","240","Try to fully update (replace) meme with invalid data","tests","Sat Oct 11 19:39:57 UTC 2025","passed","Sat Oct 11 19:39:57 UTC 2025","TestUpdateMeme","test_update_meme","",""
"","681","Successful authorization","tests","Sat Oct 11 19:39:49 UTC 2025","passed","Sat Oct 11 19:39:50 UTC 2025","TestAuth","test_authorization","",""
"","245","Try to read meme by id with wrong url","tests","Sat Oct 11 19:39:54 UTC 2025","passed","Sat Oct 11 19:39:55 UTC 2025","TestReadMemes","test_read_meme","",""
"","654","Successful authorization","tests","Sat Oct 11 19:39:48 UTC 2025","passed","Sat Oct 11 19:39:49 UTC 2025","TestAuth","test_authorization","",""
"","612","Successfully create a meme","tests","Sat Oct 11 19:39:50 UTC 2025","passed","Sat Oct 11 19:39:51 UTC 2025","TestCreateMeme","test_create_meme","",""
"","620","Successfully create a meme","tests","Sat Oct 11 19:39:50 UTC 2025","passed","Sat Oct 11 19:39:51 UTC 2025","TestCreateMeme","test_create_meme","",""
